Event,Adult,Child,Comp,Member,Senior,Student
2019 Oscar Nominated Short Films: Animation,153,10,4,6,88,81
"A Bread Factory, Part One",6,0,0,24,0,0
"A Bread Factory, Part Two",5,0,0,25,0,0
A Faithful Man ,9,0,0,10,0,0
A Fantastic Woman,166,0,1,8,94,54
A Ghost Story,242,0,0,2,108,59
A Goofy Movie,0,0,218,0,0,0
A Hard Day's Night,70,0,1,0,0,0
A League of Their Own,40,0,0,2,0,2
A Man Called Ove,254,2,6,8,427,38
A Matter of Life and Death,22,0,2,7,9,4
A Quiet Passion,127,0,4,0,265,26
A Quiet Place,145,0,0,6,1,6
A United Kingdom,205,5,4,1,246,44
After Auschwitz,79,0,0,0,0,0
Akira,322,0,1,0,0,0
Ali: Fear Eats The Soul,12,0,1,5,7,2
Alien,140,0,5,1,0,0
Alive and Kicking,36,3,0,0,13,15
All Is True,53,0,1,3,115,6
All Nite Movie Marathon,23,0,1,2,0,0
All That Heaven Allows,21,0,0,5,7,3
All the Queen's Horses,104,0,5,7,146,16
All-Nite Horror Marathon V,73,0,0,0,0,0
All-Nite Horror Marathon VI,0,0,0,0,0,0
Amadeus: The Director's Cut,58,0,3,3,13,23
Amazing Grace,185,6,11,3,235,37
American Woman,66,0,1,5,66,4
An Evening With Linnea Quigley,64,0,0,2,0,0
Ancien and the Magic Tablet,41,2,0,3,5,72
Andrei Rublev,24,0,0,3,7,7
Anna and the Apocalypse,61,0,0,2,0,0
Annihilation,168,0,0,3,11,15
Apollo 11,81,3,5,4,47,29
Aquarius ,24,0,45,0,0,0
Arrival,125,2,0,3,35,14
Ask Dr. Ruth,21,0,0,4,6,6
At Eternity's Gate,277,0,17,11,374,53
Audition,61,0,4,3,0,0
Batman: The Movie,146,0,0,0,0,0
Beatriz at Dinner,63,0,2,2,61,16
Before Night Falls,3,0,2,4,0,0
Before We Vanish,65,0,0,3,0,0
Belladonna of Sadness,71,0,3,0,0,0
Belle De Jour,31,0,1,5,11,10
Beyond the Valley of the Dolls,43,0,1,3,0,0
Bicycle Thieves,16,1,0,6,20,7
Big,11,3,0,0,2,1
Bike Movie Night,4,0,0,0,0,0
Birds of Passage,25,0,0,9,7,6
Bisbee '17,18,0,0,3,15,7
BlacKkKlansman,919,2,23,16,449,310
Black Clover,13,0,1,0,1,13
Black Girl,37,1,0,0,13,19
Blade,22,3,0,0,3,8
Blade Runner,355,0,1,1,0,2
Blade Runner 2049,128,0,0,3,0,0
Blaze,50,1,0,4,30,13
Blindspotting,114,0,4,4,58,27
Blockers,0,0,1,0,0,0
Blue Collar,33,0,2,2,0,0
Bombshell: The Hedy Lamarr Story,80,1,1,8,110,5
Bones,2,0,1,0,0,0
Booksmart,209,0,8,2,21,33
Border,101,0,2,7,24,24
Boy and the World,0,117,0,0,0,0
Boyz n the Hood,5,0,0,1,3,6
Brain Damage,20,0,1,2,0,0
Brazil,41,0,1,3,0,0
Burning,51,0,2,4,4,22
Butch Cassidy and the Sundance Kid,21,1,0,6,8,10
Buy Me a Gun,10,0,0,2,1,4
Cafe Society,412,0,5,5,442,99
Cairo in One Breath,50,0,0,0,0,24
Cameraperson,12,0,0,0,0,0
Can You Ever Forgive Me?,395,0,3,8,462,47
Candyman,28,0,0,3,0,0
Cape Fear,58,0,7,0,7,0
Capernaum,86,0,6,4,67,39
Carmen Jones,16,0,1,5,16,0
Casablanca,462,0,4,4,28,66
CatVideoFest 2018,160,28,0,7,54,41
Cemetery Without Crosses,13,0,0,0,0,0
Certain Women,92,0,1,3,93,26
Chavela,34,0,3,0,16,23
Children of Men,69,0,2,2,0,0
Chimes at Midnight,4,0,39,15,0,0
Christine,19,0,1,2,0,0
Climax,32,0,0,2,0,0
Close Encounters of the Third Kind,36,0,3,2,7,4
Cold War,197,0,6,8,125,61
Colossal,174,0,2,0,36,41
Columbus,162,0,6,7,200,37
Cooley High,8,0,1,0,2,0
Crooklyn,3,0,0,3,6,0
Damsel,29,0,2,4,17,7
Darkest Hour,434,4,3,12,400,64
Daughters of the Dust,33,1,0,0,23,28
Dawn of the Dead,32,0,0,0,0,0
Dawson City: Frozen Time,29,0,17,17,0,0
Deconstructing the Beatles' Revolver,41,0,0,0,0,2
Deconstructing the Beatles' Sgt. Pepper,64,0,0,0,0,4
Deconstructing the Beatles' White Album,19,0,0,0,18,3
Deconstructing the Beatles: 1963 Yeah! Yeah! Yeah!,17,0,0,0,5,1
Deconstructing the Birth of the Beatles,28,0,0,0,18,3
Deep Red,48,0,0,4,0,0
Demon,71,0,1,0,0,0
Denial,74,0,0,4,110,21
Destroyer,28,0,0,1,11,0
Devotion,3,0,0,0,0,0
Dilili in Paris,0,42,0,0,0,0
Dirty Dancing,16,0,1,1,0,0
Disobedience,98,0,3,3,64,25
Do the Right Thing,49,0,0,1,0,0
Dog Day Afternoon,54,0,0,4,2,4
Dolores,64,0,4,8,22,51
Don't Think Twice,627,0,6,16,181,179
Donnie Darko,331,0,4,1,0,0
Don’t Look Now,34,0,2,3,0,0
Dr. Jekyll and Mr. Hyde,59,0,1,4,0,0
Dreaming of a Jewish Christmas,60,0,0,0,0,0
Echo In The Canyon,93,0,5,4,120,5
Edge of Seventeen,0,0,1,0,0,0
El Mar La Mar,9,0,0,3,0,0
Elle,57,0,0,1,23,43
Empire of the Ants,24,0,1,6,2,3
Endless Poetry,80,0,2,0,2,26
Eraserhead,110,0,0,7,0,0
Ernest Scared Stupid,0,0,31,0,0,0
Eugene Onegin,0,0,1,51,0,0
Everglades of the North,0,0,246,0,0,0
Ex Libris: The New York Public Library,43,0,43,18,0,0
Ex Machina,41,0,1,3,8,17
Faces Places,84,0,2,2,41,20
Fanny and Alexander,10,0,2,2,22,8
Femme Frontera Filmmaker Showcase,20,0,1,2,4,22
Film Stars Don't Die in Liverpool,87,0,0,10,106,9
Filmworker,20,0,0,19,0,0
First Man,0,0,2,0,0,0
First Reformed,493,0,3,12,437,54
Flashdance,9,0,0,1,0,0
Flower and Sword,51,0,0,0,0,0
Foreign Body,4,0,5,4,4,2
"Found Footage Festival, Vol. 8",106,0,2,0,0,0
Found Footage Festival: Cherished Gems,128,0,0,0,14,51
Frantz,31,0,0,0,72,8
Free Solo,396,18,10,5,95,129
Gadget Girls & ’63 Boycott w/ Risé Sanders-Weir & Gordon Quinn,7,0,2,3,6,2
Ganja & Hess,5,0,2,2,0,0
Gattaca,70,0,2,4,17,17
George A. Romero Double Feature,23,0,4,0,0,0
Get Out,84,0,247,4,0,0
Ghost Stories,97,0,5,2,0,0
Giant Little Ones,17,0,0,3,8,7
Gimme Danger,97,0,0,0,0,0
Girlhood,11,0,0,0,1,4
Grace Jones: Bloodlight and Bami,16,0,3,3,3,5
Grease,50,0,8,0,0,0
Gremlins,39,0,3,1,0,0
Groundhog Day,26,0,0,0,0,0
Hagazussa,34,0,3,2,0,0
Hail Satan?,76,0,5,7,17,24
Halloween (1978),93,0,0,0,0,0
Halloween (2018),17,0,6,0,0,0
Happy Death Day,0,0,246,0,0,0
Hard to Be a God,64,0,2,0,0,0
Harvey,69,0,0,0,0,8
Have A Nice Day (Hao ji le),42,0,2,2,0,0
Have a Nice Day,21,0,0,0,3,3
Henry: Portrait of a Serial Killer,40,0,0,3,0,0
Hereditary,79,0,3,1,0,0
High Life ,49,0,2,2,7,12
Holiday Heart,11,1,0,4,10,11
Hot Summer Nights,25,0,1,3,0,0
Hotel by the River,8,0,0,5,11,3
How to Talk to Girls at Parties,59,0,1,2,0,0
Hunt for the Wilderpeople,412,21,8,3,184,103
I Am Cuba,0,0,139,0,0,0
I Am Not Your Negro,682,4,2,18,268,209
I Am Not a Witch,6,0,0,13,0,0
"I, Daniel Blake",52,0,0,0,70,15
"I, Tonya",113,3,0,4,28,10
If Beale Street Could Talk,438,0,22,14,234,141
In Transit,48,0,20,21,0,0
In the Fade,63,0,0,7,44,21
Indiana Jones and the Last Crusade,151,3,1,1,3,2
Indignation,268,0,7,17,397,82
Isle of Dogs,1120,53,16,20,237,537
Ixcanul,48,0,0,11,0,0
Jackie,893,1,3,13,779,203
Jaws: The Revenge,11,0,1,2,0,0
Jimi Hendrix Electric Church,44,0,1,5,24,4
"Juliet, Naked",162,0,4,6,105,25
