,Events,Quantity,Price,Merchandise_Sales,Concession_Sales
0,Weiner,48,383.75,0,127.5
2,The Lady from Shanghai,56,382,0,226.5
4,Boy and the World,117,0,0,350.25
5,Lobster,76,592,0,290.5
6,Hunt for the Wilderpeople,731,5983.25,0,2093.25
10,Big,17,155,0,46.5
12,Cape Fear,72,518.5,0,214
13,Kirikou the Scorcess,94,0,0,214
14,Kiss Me Deadly,80,566,0,239
15,NYICFF Best of the Fest,134,0,0,336.75
16,The Innocents,249,1936.25,0,574.25
17,"Life, Animated",197,1708,0,472.75
20,Phantom of the Paradise,66,528,0,287
23,The Big Lebowski,198,1506.75,0,1031
24,Willy Wonka & the Chocolate Factory,39,295,0,99.25
31,Chimes at Midnight,58,40,0,202
32,Mia Madre,31,237,0,81.5
35,Eugene Onegin,52,727.5,0,96
36,Time Bandits,73,687,0,239
38,Ixcanul,59,573.5,0,197
42,Nise: The Heart of Madness,54,470.75,0,106
43,The Birth of a Nation,323,2757.25,0,983.5
47,National Theatre Live: The Threepenny Opera,31,461.5,0,72
48,Devotion,3,24,0,18
49,Denial,209,1673.25,0,1332.75
56,Gimme Danger,97,776,0,424.25
60,The Handmaiden,266,2150,0,866.75
61,Starving the Beast,1,0,0,411.5
62,Akira,323,2576,0,1176
63,Children of Men,73,552,0,426
64,Aquarius ,69,240,0,225.25
67,The Muppet Christmas Carol,55,422.25,0,213.5
73,Cameraperson,12,120,0,158.5
77,The Oscar Nominated Short Films 2017: Live Action,415,3366.5,0,919.75
78,Punch-Drunk Love,27,200,0,48
79,The Oscar Nominated Short Films 2017: Documentary,120,1006.75,0,291.5
80,Casablanca,564,5110,0,1919.75
82,Daughters of the Dust,85,743.25,0,258.5
83,Silence,3,25.75,0,0
85,No Man's Land,91,1437,0,249.75
86,The Salesman,260,2132,0,1080.25
87,Neruda,84,540,0,205.25
89,Cooley High,11,94,0,52.5
91,Toni Erdmann,82,611.25,0,173.5
92,Blade,36,324,0,146
94,Ocean Waves,77,608.25,0,155
96,Our Heavenly Bodies,59,590,0,169.5
