EventName,EventDate,Quantity,Price,EventDateNo
2019 Oscar Nominated Short Films: Animation,"Feb 10, 2019 12:30:00 PM",67,540.0,1
2019 Oscar Nominated Short Films: Animation,"Feb 16, 2019 11:30:00 AM",52,413.5,2
2019 Oscar Nominated Short Films: Animation,"Feb 17, 2019 11:30:00 AM",60,486.75,3
2019 Oscar Nominated Short Films: Animation,"Feb 18, 2019 7:00:00 PM",68,606.25,4
2019 Oscar Nominated Short Films: Animation,"Feb 9, 2019 11:30:00 AM",70,569.25,5
2019 Oscar Nominated Short Films: Animation,"Mar 2, 2019 12:00:00 PM",7,57.75,6
2019 Oscar Nominated Short Films: Animation,"Mar 5, 2019 5:00:00 PM",12,98.25,7
2019 Oscar Nominated Short Films: Animation,"Mar 7, 2019 5:30:00 PM",6,50.25,8
"A Bread Factory, Part One","Dec 11, 2018 7:00:00 PM",30,60.0,1
"A Bread Factory, Part Two","Dec 18, 2018 7:00:00 PM",30,50.0,1
A Faithful Man ,"Aug 28, 2019 7:30:00 PM",19,90.0,1
A Fantastic Woman,"Mar 16, 2018 5:00:00 PM",23,180.5,1
A Fantastic Woman,"Mar 16, 2018 7:30:00 PM",40,362.25,2
A Fantastic Woman,"Mar 17, 2018 2:00:00 PM",17,133.25,3
A Fantastic Woman,"Mar 17, 2018 5:00:00 PM",22,185.75,4
A Fantastic Woman,"Mar 17, 2018 7:30:00 PM",30,281.25,5
A Fantastic Woman,"Mar 18, 2018 2:00:00 PM",19,161.0,6
A Fantastic Woman,"Mar 18, 2018 5:00:00 PM",23,184.25,7
A Fantastic Woman,"Mar 18, 2018 7:30:00 PM",17,155.25,8
A Fantastic Woman,"Mar 19, 2018 5:00:00 PM",18,133.25,9
A Fantastic Woman,"Mar 20, 2018 5:00:00 PM",10,81.5,10
A Fantastic Woman,"Mar 20, 2018 7:30:00 PM",17,155.5,11
A Fantastic Woman,"Mar 21, 2018 5:00:00 PM",7,59.0,12
A Fantastic Woman,"Mar 21, 2018 7:30:00 PM",31,285.0,13
A Fantastic Woman,"Mar 22, 2018 5:00:00 PM",18,141.25,14
A Fantastic Woman,"Mar 22, 2018 7:30:00 PM",31,282.5,15
A Ghost Story,"Aug 1, 2017 5:00:00 PM",6,39.75,1
A Ghost Story,"Aug 1, 2017 7:30:00 PM",19,178.75,2
A Ghost Story,"Aug 10, 2017 9:30:00 PM",8,72.0,3
A Ghost Story,"Aug 2, 2017 5:00:00 PM",12,95.25,4
A Ghost Story,"Aug 2, 2017 7:30:00 PM",21,197.75,5
A Ghost Story,"Aug 3, 2017 5:00:00 PM",6,48.0,6
A Ghost Story,"Aug 3, 2017 7:30:00 PM",16,152.75,7
A Ghost Story,"Aug 4, 2017 7:00:00 PM",25,229.5,8
A Ghost Story,"Aug 5, 2017 7:00:00 PM",23,200.25,9
A Ghost Story,"Aug 6, 2017 4:30:00 PM",19,149.25,10
A Ghost Story,"Aug 7, 2017 5:00:00 PM",16,127.5,11
A Ghost Story,"Aug 8, 2017 5:00:00 PM",16,126.75,12
A Ghost Story,"Aug 9, 2017 9:30:00 PM",18,165.0,13
A Ghost Story,"Jul 28, 2017 7:30:00 PM",48,424.75,14
A Ghost Story,"Jul 29, 2017 2:30:00 PM",15,117.75,15
A Ghost Story,"Jul 29, 2017 5:00:00 PM",11,87.0,16
A Ghost Story,"Jul 29, 2017 7:30:00 PM",38,348.0,17
A Ghost Story,"Jul 30, 2017 2:30:00 PM",24,189.75,18
A Ghost Story,"Jul 30, 2017 5:00:00 PM",14,111.0,19
A Ghost Story,"Jul 30, 2017 7:30:00 PM",15,136.25,20
A Ghost Story,"Jul 31, 2017 5:00:00 PM",15,122.25,21
A Ghost Story,"Jul 31, 2017 7:30:00 PM",26,221.5,22
A Goofy Movie,"Aug 30, 2017 10:00:00 PM",218,0.0,1
A Hard Day's Night,"Jul 14, 2017 10:00:00 PM",27,208.0,1
A Hard Day's Night,"Jul 15, 2017 10:00:00 PM",23,184.0,2
A Hard Day's Night,"Jul 20, 2017 10:00:00 PM",21,168.0,3
A League of Their Own,"Jan 15, 2019 7:30:00 PM",44,417.0,1
A Man Called Ove,"Nov 2, 2016 6:00:00 PM",12,87.25,1
A Man Called Ove,"Nov 2, 2016 8:30:00 PM",2,19.5,2
A Man Called Ove,"Nov 3, 2016 7:30:00 PM",51,430.75,3
A Man Called Ove,"Oct 14, 2016 5:00:00 PM",33,250.5,4
A Man Called Ove,"Oct 14, 2016 7:30:00 PM",54,434.25,5
A Man Called Ove,"Oct 15, 2016 2:00:00 PM",59,455.25,6
A Man Called Ove,"Oct 15, 2016 7:30:00 PM",50,443.25,7
A Man Called Ove,"Oct 16, 2016 6:00:00 PM",65,555.0,8
A Man Called Ove,"Oct 16, 2016 8:30:00 PM",15,131.25,9
A Man Called Ove,"Oct 17, 2016 5:00:00 PM",41,320.25,10
A Man Called Ove,"Oct 18, 2016 4:30:00 PM",41,315.75,11
A Man Called Ove,"Oct 19, 2016 4:30:00 PM",39,282.75,12
A Man Called Ove,"Oct 20, 2016 5:00:00 PM",47,363.0,13
A Man Called Ove,"Oct 20, 2016 7:30:00 PM",40,334.0,14
A Man Called Ove,"Oct 28, 2016 7:30:00 PM",40,347.25,15
A Man Called Ove,"Oct 29, 2016 2:30:00 PM",8,60.75,16
A Man Called Ove,"Oct 29, 2016 7:30:00 PM",59,511.75,17
A Man Called Ove,"Oct 30, 2016 1:00:00 PM",47,363.75,18
A Man Called Ove,"Oct 31, 2016 7:30:00 PM",32,259.25,19
A Matter of Life and Death,"Mar 26, 2018 7:30:00 PM",44,330.5,1
A Quiet Passion,"Jun 16, 2017 2:15:00 PM",35,272.25,1
A Quiet Passion,"Jun 17, 2017 2:15:00 PM",71,551.25,2
A Quiet Passion,"Jun 19, 2017 7:00:00 PM",100,836.0,3
A Quiet Passion,"Jun 21, 2017 2:15:00 PM",40,307.5,4
A Quiet Passion,"Jun 23, 2017 4:15:00 PM",55,424.5,5
A Quiet Passion,"Jun 24, 2017 2:15:00 PM",69,520.5,6
A Quiet Passion,"Jun 29, 2017 4:45:00 PM",52,398.25,7
A Quiet Place,"Aug 31, 2018 9:30:00 PM",54,400.0,1
A Quiet Place,"Sep 1, 2018 9:30:00 PM",38,304.0,2
A Quiet Place,"Sep 2, 2018 12:00:00 PM",26,218.5,3
A Quiet Place,"Sep 6, 2018 9:30:00 PM",40,312.0,4
A United Kingdom,"Mar 10, 2017 5:00:00 PM",26,204.0,1
A United Kingdom,"Mar 10, 2017 7:30:00 PM",27,236.0,2
A United Kingdom,"Mar 11, 2017 2:30:00 PM",42,330.0,3
A United Kingdom,"Mar 11, 2017 5:00:00 PM",20,158.75,4
A United Kingdom,"Mar 11, 2017 7:30:00 PM",39,339.75,5
A United Kingdom,"Mar 12, 2017 3:00:00 PM",30,232.5,6
A United Kingdom,"Mar 12, 2017 5:30:00 PM",18,128.25,7
A United Kingdom,"Mar 12, 2017 8:00:00 PM",8,68.5,8
A United Kingdom,"Mar 13, 2017 5:00:00 PM",7,53.25,9
A United Kingdom,"Mar 13, 2017 7:30:00 PM",10,90.5,10
A United Kingdom,"Mar 14, 2017 4:30:00 PM",1,7.5,11
A United Kingdom,"Mar 15, 2017 2:30:00 PM",5,39.0,12
A United Kingdom,"Mar 15, 2017 5:00:00 PM",9,70.5,13
A United Kingdom,"Mar 15, 2017 7:30:00 PM",11,93.75,14
A United Kingdom,"Mar 16, 2017 2:30:00 PM",9,69.0,15
A United Kingdom,"Mar 16, 2017 5:00:00 PM",5,37.5,16
A United Kingdom,"Mar 16, 2017 7:30:00 PM",5,42.5,17
A United Kingdom,"Mar 17, 2017 4:30:00 PM",18,140.25,18
A United Kingdom,"Mar 17, 2017 7:00:00 PM",25,224.75,19
A United Kingdom,"Mar 18, 2017 1:15:00 PM",24,188.25,20
A United Kingdom,"Mar 18, 2017 7:00:00 PM",37,301.0,21
A United Kingdom,"Mar 19, 2017 2:45:00 PM",20,144.75,22
A United Kingdom,"Mar 19, 2017 7:15:00 PM",4,35.5,23
A United Kingdom,"Mar 20, 2017 4:30:00 PM",16,121.75,24
A United Kingdom,"Mar 21, 2017 7:00:00 PM",32,287.0,25
A United Kingdom,"Mar 22, 2017 7:00:00 PM",25,211.0,26
A United Kingdom,"Mar 23, 2017 7:00:00 PM",32,279.25,27
After Auschwitz,"Mar 3, 2019 7:00:00 PM",89,790.0,1
Akira,"Dec 2, 2016 10:00:00 PM",86,688.0,1
Akira,"Dec 3, 2016 10:00:00 PM",112,896.0,2
Akira,"Dec 7, 2016 10:00:00 PM",47,368.0,3
Akira,"Dec 8, 2016 10:00:00 PM",78,624.0,4
Ali: Fear Eats The Soul,"Aug 13, 2018 7:30:00 PM",27,204.75,1
Alien,"Aug 18, 2017 10:00:00 PM",35,280.0,1
Alien,"Aug 19, 2017 10:00:00 PM",29,224.0,2
Alien,"Aug 24, 2017 10:00:00 PM",36,272.0,3
Alien,"Jun 7, 2019 9:30:00 PM",4,24.0,4
Alien,"Jun 8, 2019 9:30:00 PM",42,320.0,5
Alive and Kicking,"May 7, 2017 6:00:00 PM",67,598.25,1
All Is True,"Jun 21, 2019 7:00:00 PM",32,273.25,1
All Is True,"Jun 22, 2019 2:30:00 PM",26,214.75,2
All Is True,"Jun 22, 2019 7:00:00 PM",23,203.75,3
All Is True,"Jun 23, 2019 2:30:00 PM",23,188.5,4
All Is True,"Jun 24, 2019 7:30:00 PM",25,198.0,5
All Is True,"Jun 25, 2019 5:00:00 PM",4,32.0,6
All Is True,"Jun 26, 2019 5:00:00 PM",27,222.75,7
All Is True,"Jun 27, 2019 7:00:00 PM",18,157.5,8
All Nite Movie Marathon,"Oct 29, 2016 10:00:00 PM",65,861.0,1
All That Heaven Allows,"Jun 18, 2018 7:30:00 PM",36,303.25,1
All the Queen's Horses,"May 22, 2018 7:30:00 PM",138,1145.75,1
All the Queen's Horses,"May 26, 2018 12:30:00 PM",71,586.0,2
All the Queen's Horses,"May 27, 2018 12:30:00 PM",69,563.5,3
All-Nite Horror Marathon V,"Oct 13, 2017 10:00:00 PM",73,1444.0,1
All-Nite Horror Marathon VI,"Oct 13, 2018 10:00:00 PM",26,420.0,1
Amadeus: The Director's Cut,"May 8, 2018 7:15:00 PM",100,886.0,1
Amazing Grace,"Apr 26, 2019 5:00:00 PM",13,106.25,1
Amazing Grace,"Apr 26, 2019 7:30:00 PM",19,161.5,2
Amazing Grace,"Apr 27, 2019 7:30:00 PM",50,452.25,3
Amazing Grace,"Apr 28, 2019 12:00:00 PM",21,167.5,4
Amazing Grace,"Apr 28, 2019 2:30:00 PM",22,179.25,5
Amazing Grace,"Apr 28, 2019 5:00:00 PM",20,150.25,6
Amazing Grace,"Apr 29, 2019 5:30:00 PM",13,109.25,7
Amazing Grace,"Apr 29, 2019 8:00:00 PM",12,111.25,8
Amazing Grace,"Apr 30, 2019 7:30:00 PM",26,187.5,9
Amazing Grace,"May 1, 2019 5:00:00 PM",18,150.0,10
Amazing Grace,"May 1, 2019 7:30:00 PM",29,259.25,11
Amazing Grace,"May 2, 2019 5:00:00 PM",23,170.25,12
Amazing Grace,"May 2, 2019 7:30:00 PM",59,521.75,13
Amazing Grace,"May 3, 2019 7:00:00 PM",17,149.5,14
Amazing Grace,"May 4, 2019 2:00:00 PM",5,42.25,15
Amazing Grace,"May 4, 2019 7:00:00 PM",36,320.0,16
Amazing Grace,"May 5, 2019 7:00:00 PM",3,26.75,17
Amazing Grace,"May 6, 2019 7:30:00 PM",12,99.0,18
Amazing Grace,"May 7, 2019 7:30:00 PM",19,169.5,19
Amazing Grace,"May 8, 2019 7:30:00 PM",29,255.0,20
Amazing Grace,"May 9, 2019 7:30:00 PM",31,275.75,21
American Woman,"Aug 2, 2019 9:30:00 PM",9,64.0,1
American Woman,"Aug 3, 2019 2:00:00 PM",35,283.75,2
American Woman,"Aug 3, 2019 9:30:00 PM",7,53.0,3
American Woman,"Aug 4, 2019 7:30:00 PM",30,253.5,4
American Woman,"Aug 5, 2019 5:00:00 PM",32,186.0,5
American Woman,"Aug 6, 2019 7:30:00 PM",29,238.5,6
An Evening With Linnea Quigley,"Oct 4, 2017 7:30:00 PM",66,985.0,1
Ancien and the Magic Tablet,"Sep 15, 2017 10:00:00 PM",33,275.0,1
Ancien and the Magic Tablet,"Sep 16, 2017 10:00:00 PM",46,386.5,2
Ancien and the Magic Tablet,"Sep 16, 2017 12:00:00 PM",7,55.25,3
