original_title,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,Gross Revenue,Unnamed: 2
A Ghost Story,FALSE,,100000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",https://a24films.com/films/a-ghost-story,428449,tt6265828,en,"Recently deceased, a white-sheeted ghost returns to his suburban home to console his bereft wife, only to find that in his spectral state he has become unstuck in time, forced to watch passively as the life he knew and the woman he loves slowly slip away.",24.339781,/ydENrBUenr4khaP6tj4JZn1CpMs.jpg,"[{'name': 'Sailor Bear', 'id': 14634}, {'name': 'A24', 'id': 41077}, {'name': 'Zero Trans Fat Productions', 'id': 49471}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/7/2017,15584255,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's all about time,A Ghost Story,FALSE,6.8,95,"$3,540.75 ",
A Hard Day's Night,FALSE,,560000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",http://www.thebeatles.com/film/hard-days-night,704,tt0058182,en,"Capturing John Lennon, Paul McCartney, George Harrison and Ringo Starr in their electrifying element, 'A Hard Day's Night' is a wildly irreverent journey through this pastiche of a day in the life of The Beatles during 1964. The band have to use all their guile and wit to avoid the pursuing fans and press to reach their scheduled television performance, in spite of Paul's troublemaking grandfather and Ringo's arrest.",5.719266,/zGadcmcF48gy8rKCX2ubBz2ZlbF.jpg,"[{'name': 'Proscenium Films', 'id': 413}, {'name': 'Walter Shenson Films', 'id': 3462}, {'name': 'Maljack Productions', 'id': 11506}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",7/6/1964,12299668,88,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"The Beatles, starring in their first full-length, hilarious, action-packed film!",A Hard Day's Night,FALSE,7.3,172,$560.00 ,
A League of Their Own,FALSE,,40000000,"[{'id': 35, 'name': 'Comedy'}]",,11287,tt0104694,en,"Small-town sisters Dottie and Kit join an all-female baseball league formed after World War II brings pro baseball to a standstill. When their team hits the road with its drunken coach, the siblings find troubles and triumphs on and off the field.",10.852038,/mHr58FxWSPZtxSqVxDpO12nKmMi.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Parkway Productions', 'id': 1350}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/1/1992,107458785,128,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"To achieve the incredible, you have to attempt the impossible.",A League of Their Own,FALSE,6.8,362,$417.00 ,
A Matter of Life and Death,FALSE,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,28162,tt0038733,en,"When a young airman miraculously survives bailing out of his aeroplane without a parachute, he falls in love with an American radio operator. But the officials in the other world realise their mistake, and despatch an angel to collect him.",6.486938,/6Qec6QpCv6gOCdBH4PJ0FzJXKzh.jpg,"[{'name': 'The Archers', 'id': 11382}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",8/22/1946,0,104,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Neither Heaven nor Earth could keep them apart!,A Matter of Life and Death,FALSE,8,73,$330.50 ,
A Quiet Passion,FALSE,,8138338,"[{'id': 18, 'name': 'Drama'}]",,368942,tt2392830,en,"The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist.",3.55933,/k2WWlrMbuINyzDCfBuD48eN22QY.jpg,"[{'name': 'Indomitable Entertainment', 'id': 24012}, {'name': 'Potemkino', 'id': 31279}, {'name': 'Hurricane Films', 'id': 43274}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",10/7/2016,1864266,125,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,A Quiet Passion,FALSE,7.5,26,"$3,310.25 ",
A United Kingdom,FALSE,,14000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",,347026,tt3387266,en,"The inspiring true story of Seretse Khama, the King of Bechuanaland (modern Botswana), and Ruth Williams, the London office worker he married in 1948 in the face of fierce opposition from their families and the British and South African governments. Seretse and Ruth defied family, Apartheid and empire - their love triumphed over every obstacle flung in their path and in so doing they transformed their nation and inspired the world.",6.249112,/xyhoW9qK7ZaDM1V4A6pPL9DWjn8.jpg,"[{'name': 'Pathé', 'id': 7981}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",11/25/2016,13819139,111,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The true story of a love that shook an empire,A United Kingdom,FALSE,6.5,84,"$4,134.75 ",
Alien,FALSE,"{'id': 8091, 'name': 'Alien Collection', 'poster_path': '/iVzIeC3PbG9BtDAudpwSNdKAgh6.jpg', 'backdrop_path': '/kB0Y3uGe9ohJa59Lk8UO9cUOxGM.jpg'}",11000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.facebook.com/alienanthology/,348,tt0078748,en,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",23.37742,/2h00HrZs89SL3tXB4nbkiM7BKHs.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Brandywine Productions', 'id': 19747}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",5/25/1979,104931801,117,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,In space no one can hear you scream.,Alien,FALSE,7.9,4564,"$1,120.00 ",
All That Heaven Allows,FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,43316,tt0047811,en,Friends and family want a rich widow to end her romance with a tree surgeon about 15 years her junior.,3.922641,/2dtCU4kobdzTN3XfPqs6XcxR5Ht.jpg,"[{'name': 'Universal International Pictures (UI)', 'id': 10330}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/25/1955,3100000,89,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,How much does Heaven Allow a Woman in Love?,All That Heaven Allows,FALSE,7.4,66,$303.25 ,
Amazing Grace,FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",http://www.amazinggracemovie.com/,15163,tt0454776,en,"The true story of William Wilberforce's courageous quest to end the British slave trade. Although meeting intense opposition, his minister, John Newton, urges him to see the cause through.",20.346477,/gSipFYPRTESPf9RD6c6nX9JRtqT.jpg,"[{'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Roadside Attractions', 'id': 911}, {'name': 'Bristol Bay Productions', 'id': 2233}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",9/16/2006,0,117,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,Behind the song you love is a story you will never forget.,Amazing Grace,FALSE,7,95,"$4,064.00 ",
Arrival,FALSE,,47000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]",http://www.arrivalmovie.com/,329865,tt2543164,en,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",30.83786,/hLudzvGfpi6JlwUnsNhXwKKg4j.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': '21 Laps Entertainment', 'id': 2575}, {'name': 'FilmNation Entertainment', 'id': 7493}, {'name': 'Lava Bear Films', 'id': 32300}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/10/2016,203388186,113,"[{'iso_639_1': 'zh', 'name': '普通话'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Why are they here?,Arrival,FALSE,7.2,5729,"$1,391.75 ",
