,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
0,"Paul Newman, Lolita Davidovich, Jerry Hardin, Gailard Sartain",Nominated for 1 Oscar. Another 1 win & 2 nominations.,N/A,USA,6-Apr-04,Ron Shelton,"Biography, Drama",English,67,"A middle-aged Louisiana governor falls in love with a young stripper, which jeopardizes his political career and the radical policies which have made him a controversial figure.",https://m.media-amazon.com/images/M/MV5BN2UzODlhNjEtYjEwYS00N2Q0LTlhMWUtZWI4YzZhMWNhYTRiL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Touchstone Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '6.0/10'}",13-Dec-89,TRUE,120 min,Blaze,movie,N/A,"Blaze Starr (book), Huey Perry (book), Ron Shelton (screenplay)",1989,tt0096943,6,"3,375",
1,"Paul Newman, Lolita Davidovich, Jerry Hardin, Gailard Sartain",Nominated for 1 Oscar. Another 1 win & 2 nominations.,N/A,USA,6-Apr-04,Ron Shelton,"Biography, Drama",English,67,"A middle-aged Louisiana governor falls in love with a young stripper, which jeopardizes his political career and the radical policies which have made him a controversial figure.",https://m.media-amazon.com/images/M/MV5BN2UzODlhNjEtYjEwYS00N2Q0LTlhMWUtZWI4YzZhMWNhYTRiL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Touchstone Pictures,R,"{'Source': 'Rotten Tomatoes', 'Value': '80%'}",13-Dec-89,TRUE,120 min,Blaze,movie,N/A,"Blaze Starr (book), Huey Perry (book), Ron Shelton (screenplay)",1989,tt0096943,6,"3,375",
2,"Paul Newman, Lolita Davidovich, Jerry Hardin, Gailard Sartain",Nominated for 1 Oscar. Another 1 win & 2 nominations.,N/A,USA,6-Apr-04,Ron Shelton,"Biography, Drama",English,67,"A middle-aged Louisiana governor falls in love with a young stripper, which jeopardizes his political career and the radical policies which have made him a controversial figure.",https://m.media-amazon.com/images/M/MV5BN2UzODlhNjEtYjEwYS00N2Q0LTlhMWUtZWI4YzZhMWNhYTRiL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Touchstone Pictures,R,"{'Source': 'Metacritic', 'Value': '67/100'}",13-Dec-89,TRUE,120 min,Blaze,movie,N/A,"Blaze Starr (book), Huey Perry (book), Ron Shelton (screenplay)",1989,tt0096943,6,"3,375",
0,"Tyne Daly, Elisabeth Henry-Macari, James Marsters, Shershah Mizan",N/A,N/A,USA,N/A,Patrick Wang,"Comedy, Drama",English,91,"After 40 years of running their community arts space, The Bread Factory, Dorothea and Greta are suddenly fighting for survival when a celebrity couple--performance artists from China--come ...",https://m.media-amazon.com/images/M/MV5BMDBkNzI1ODAtNjAwOC00ODk1LTlhNmMtYTVlNjAxZjY3MTI4XkEyXkFqcGdeQXVyMjM0MTk0MA@@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",26-Oct-18,TRUE,122 min,"A Bread Factory, Part One",movie,N/A,Patrick Wang,2018,tt6884380,7.3,79,
1,"Tyne Daly, Elisabeth Henry-Macari, James Marsters, Shershah Mizan",N/A,N/A,USA,N/A,Patrick Wang,"Comedy, Drama",English,91,"After 40 years of running their community arts space, The Bread Factory, Dorothea and Greta are suddenly fighting for survival when a celebrity couple--performance artists from China--come ...",https://m.media-amazon.com/images/M/MV5BMDBkNzI1ODAtNjAwOC00ODk1LTlhNmMtYTVlNjAxZjY3MTI4XkEyXkFqcGdeQXVyMjM0MTk0MA@@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Metacritic', 'Value': '91/100'}",26-Oct-18,TRUE,122 min,"A Bread Factory, Part One",movie,N/A,Patrick Wang,2018,tt6884380,7.3,79,
0,"Louis Garrel, Laetitia Casta, Lily-Rose Depp, Joseph Engel",N/A,N/A,France,N/A,Louis Garrel,"Comedy, Drama, Romance",French,68,"A couple's relationship becomes complicated when she leaves him for his best friend, and returns after he dies.",https://m.media-amazon.com/images/M/MV5BZGUxNmEzNGEtMDZjNi00OTQ0LWJmMTItMWMyNzg0N2M0NjBkXkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",19-Jul-19,TRUE,75 min,A Faithful Man,movie,N/A,"Jean-Claude Carrière, Louis Garrel",2018,tt8075202,6.3,867,
1,"Louis Garrel, Laetitia Casta, Lily-Rose Depp, Joseph Engel",N/A,N/A,France,N/A,Louis Garrel,"Comedy, Drama, Romance",French,68,"A couple's relationship becomes complicated when she leaves him for his best friend, and returns after he dies.",https://m.media-amazon.com/images/M/MV5BZGUxNmEzNGEtMDZjNi00OTQ0LWJmMTItMWMyNzg0N2M0NjBkXkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg,N/A,N/A,"{'Source': 'Metacritic', 'Value': '68/100'}",19-Jul-19,TRUE,75 min,A Faithful Man,movie,N/A,"Jean-Claude Carrière, Louis Garrel",2018,tt8075202,6.3,867,
0,"Daniela Vega, Francisco Reyes, Luis Gnecco, Aline Küppenheim",Won 1 Oscar. Another 17 wins & 37 nominations.,"$806,746 ","Chile, Germany, Spain, USA",22-May-18,Sebastián Lelio,Drama,"Spanish, Chinese",86,"Marina, a transgender woman who works as a waitress and moonlights as a nightclub singer, is bowled over by the death of her older boyfriend.",https://m.media-amazon.com/images/M/MV5BNGJhNWM4ZjItYWRhYS00N2UzLTg3OWItOGEzOWFmMGQ1ZjlkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Sony Pictures Classics,R,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",2-Feb-18,TRUE,104 min,A Fantastic Woman,movie,http://sonyclassics.com/afantasticwoman/,"Sebastián Lelio (screenplay), Gonzalo Maza (screenplay)",2017,tt5639354,7.2,"18,728",
1,"Daniela Vega, Francisco Reyes, Luis Gnecco, Aline Küppenheim",Won 1 Oscar. Another 17 wins & 37 nominations.,"$806,746 ","Chile, Germany, Spain, USA",22-May-18,Sebastián Lelio,Drama,"Spanish, Chinese",86,"Marina, a transgender woman who works as a waitress and moonlights as a nightclub singer, is bowled over by the death of her older boyfriend.",https://m.media-amazon.com/images/M/MV5BNGJhNWM4ZjItYWRhYS00N2UzLTg3OWItOGEzOWFmMGQ1ZjlkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Sony Pictures Classics,R,"{'Source': 'Rotten Tomatoes', 'Value': '93%'}",2-Feb-18,TRUE,104 min,A Fantastic Woman,movie,http://sonyclassics.com/afantasticwoman/,"Sebastián Lelio (screenplay), Gonzalo Maza (screenplay)",2017,tt5639354,7.2,"18,728",
2,"Daniela Vega, Francisco Reyes, Luis Gnecco, Aline Küppenheim",Won 1 Oscar. Another 17 wins & 37 nominations.,"$806,746 ","Chile, Germany, Spain, USA",22-May-18,Sebastián Lelio,Drama,"Spanish, Chinese",86,"Marina, a transgender woman who works as a waitress and moonlights as a nightclub singer, is bowled over by the death of her older boyfriend.",https://m.media-amazon.com/images/M/MV5BNGJhNWM4ZjItYWRhYS00N2UzLTg3OWItOGEzOWFmMGQ1ZjlkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Sony Pictures Classics,R,"{'Source': 'Metacritic', 'Value': '86/100'}",2-Feb-18,TRUE,104 min,A Fantastic Woman,movie,http://sonyclassics.com/afantasticwoman/,"Sebastián Lelio (screenplay), Gonzalo Maza (screenplay)",2017,tt5639354,7.2,"18,728",
