,ID,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons,BoxOfficeNew
0,0,"Paul Newman, Lolita Davidovich, Jerry Hardin, Gailard Sartain",Nominated for 1 Oscar. Another 1 win & 2 nominations.,,USA,6-Apr-04,Ron Shelton,"Biography, Drama",English,67,"A middle-aged Louisiana governor falls in love with a young stripper, which jeopardizes his political career and the radical policies which have made him a controversial figure.",https://m.media-amazon.com/images/M/MV5BN2UzODlhNjEtYjEwYS00N2Q0LTlhMWUtZWI4YzZhMWNhYTRiL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Touchstone Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '6.0/10'}",13-Dec-89,TRUE,120 min,Blaze,movie,,"Blaze Starr (book), Huey Perry (book), Ron Shelton (screenplay)",1989,tt0096943,6,"3,375",,704955
3,0,"Tyne Daly, Elisabeth Henry-Macari, James Marsters, Shershah Mizan",,,USA,,Patrick Wang,"Comedy, Drama",English,91,"After 40 years of running their community arts space, The Bread Factory, Dorothea and Greta are suddenly fighting for survival when a celebrity couple--performance artists from China--come ...",https://m.media-amazon.com/images/M/MV5BMDBkNzI1ODAtNjAwOC00ODk1LTlhNmMtYTVlNjAxZjY3MTI4XkEyXkFqcGdeQXVyMjM0MTk0MA@@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",26-Oct-18,TRUE,122 min,"A Bread Factory, Part One",movie,,Patrick Wang,2018,tt6884380,7.3,79,,
5,0,"Louis Garrel, Laetitia Casta, Lily-Rose Depp, Joseph Engel",,,France,,Louis Garrel,"Comedy, Drama, Romance",French,68,"A couple's relationship becomes complicated when she leaves him for his best friend, and returns after he dies.",https://m.media-amazon.com/images/M/MV5BZGUxNmEzNGEtMDZjNi00OTQ0LWJmMTItMWMyNzg0N2M0NjBkXkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg,,,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",19-Jul-19,TRUE,75 min,A Faithful Man,movie,,"Jean-Claude Carrière, Louis Garrel",2018,tt8075202,6.3,867,,73129
7,0,"Daniela Vega, Francisco Reyes, Luis Gnecco, Aline Küppenheim",Won 1 Oscar. Another 17 wins & 37 nominations.,"$806,746 ","Chile, Germany, Spain, USA",22-May-18,Sebastián Lelio,Drama,"Spanish, Chinese",86,"Marina, a transgender woman who works as a waitress and moonlights as a nightclub singer, is bowled over by the death of her older boyfriend.",https://m.media-amazon.com/images/M/MV5BNGJhNWM4ZjItYWRhYS00N2UzLTg3OWItOGEzOWFmMGQ1ZjlkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Sony Pictures Classics,R,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",2-Feb-18,TRUE,104 min,A Fantastic Woman,movie,http://sonyclassics.com/afantasticwoman/,"Sebastián Lelio (screenplay), Gonzalo Maza (screenplay)",2017,tt5639354,7.2,"18,728",,2020988
10,0,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson",11 wins & 17 nominations.,"$1,594,798 ",USA,3-Oct-17,David Lowery,"Drama, Fantasy, Romance","English, Spanish",84,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",https://m.media-amazon.com/images/M/MV5BMzcyNTc1ODQzMF5BMl5BanBnXkFtZTgwNTgzMzY4MTI@._V1_SX300.jpg,Ideaman Studios,R,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",27-Jul-17,TRUE,92 min,A Ghost Story,movie,https://aghost.store/shop/welcome,David Lowery,2017,tt6265828,6.8,"48,114",,1596371
13,0,"The Beatles, John Lennon, Paul McCartney, George Harrison",Nominated for 2 Oscars. Another 2 wins & 5 nominations.,,UK,24-Sep-02,Richard Lester,"Comedy, Music, Musical","English, German, French",96,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance.",https://m.media-amazon.com/images/M/MV5BZjQyMGUwNzAtNTc2MC00Y2FjLThlM2ItZGRjNzM0OWVmZGYyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Miramax,G,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",7-Jul-64,TRUE,87 min,A Hard Day's Night,movie,http://www.miramax.com/mm_front/owa/mp.entryPoint?action=0&amp;midStr=1069,Alun Owen (original screenplay),1964,tt0058182,7.6,"37,305",,515005
16,0,"Tom Hanks, Geena Davis, Lori Petty, Madonna",Nominated for 2 Golden Globes. Another 6 wins & 11 nominations.,,USA,9-Sep-97,Penny Marshall,"Comedy, Drama, Family, Sport",English,67,Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.,https://m.media-amazon.com/images/M/MV5BNjQ1NTQyYjktZDc5My00NDA1LWI1NmItY2ViNjQ0NDk4NmRjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Columbia Pictures,PG,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",1-Jul-92,TRUE,128 min,A League of Their Own,movie,,"Kim Wilson (story), Kelly Candaele (story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)",1992,tt0104694,7.2,"85,062",,107533928
19,0,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll",Nominated for 2 Oscars. Another 14 wins & 21 nominations.,"$3,358,518 ",Sweden,27-Dec-16,Hannes Holm,"Comedy, Drama, Romance","Swedish, Persian",70,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",https://m.media-amazon.com/images/M/MV5BMDZlYjBkZWYtMmUyZS00ZmFmLThlMGQtYjdiMzFlNDkxNjZhL2ltYWdlXkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,Tre Vänner Produktion AB,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",30-Sep-16,TRUE,116 min,A Man Called Ove,movie,http://sfstudios.se/,"Hannes Holm (screenplay), Fredrik Backman (novel)",2015,tt4080728,7.7,"40,209",,3479315
22,0,"David Niven, Kim Hunter, Robert Coote, Kathleen Byron",1 win & 2 nominations.,,UK,24-Jun-08,"Michael Powell, Emeric Pressburger","Comedy, Drama, Fantasy, Romance, War","English, French, Russian",,A British wartime aviator who cheats death must argue for his life before a celestial court.,https://m.media-amazon.com/images/M/MV5BNjRlNzNhMDYtZmYxNC00ZDVlLTlkNGMtYTYxNDI5MjcxNWYzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Universal Pictures,PG,"{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",1-Mar-47,TRUE,104 min,A Matter of Life and Death,movie,,"Michael Powell, Emeric Pressburger",1946,tt0038733,8.1,"16,888",,
24,0,"Emma Bell, Sara Vertongen, Rose Williams, Benjamin Wainwright",3 wins & 22 nominations.,"$1,864,266 ","UK, Belgium, USA, Canada",11-Jul-17,Terence Davies,"Biography, Drama",English,77,"The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist.",https://m.media-amazon.com/images/M/MV5BZDNhNDg5ZGItMzA2YS00NDRlLWE2NTItNWQ0OGEwZGIyOTc2XkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,Hurricane Films,PG-13,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",7-Apr-17,TRUE,125 min,A Quiet Passion,movie,http://www.hurricanefilms.net/,Terence Davies,2016,tt2392830,6.5,"4,665",,1865396
