EventName,TicketType,Quantity,Price
2019 Oscar Nominated Short Films: Animation,Adult,153,1383.75
2019 Oscar Nominated Short Films: Animation,Child,10,67.5
2019 Oscar Nominated Short Films: Animation,Comp,4,0.0
2019 Oscar Nominated Short Films: Animation,Member,4,0.0
2019 Oscar Nominated Short Films: Animation,Senior Citizen,88,709.25
2019 Oscar Nominated Short Films: Animation,Student,81,651.5
2019 Oscar Nominated Short Films: Animation,Supporter Admission,2,10.0
"A Bread Factory, Part One",Adult,6,60.0
"A Bread Factory, Part One",Member Screening,24,0.0
"A Bread Factory, Part Two",Adult,5,50.0
"A Bread Factory, Part Two",Member Screening,25,0.0
A Faithful Man ,Adult,9,90.0
A Faithful Man ,Member Screening,10,0.0
A Fantastic Woman,Adult,166,1573.75
A Fantastic Woman,Comp,1,0.0
A Fantastic Woman,Member,8,0.0
A Fantastic Woman,Senior Citizen,94,761.25
A Fantastic Woman,Student,54,446.5
A Ghost Story,Adult,242,2226.0
A Ghost Story,Member,2,0.0
A Ghost Story,Senior Citizen,108,840.0
A Ghost Story,Student,59,474.75
A Goofy Movie,Comp,218,0.0
A Hard Day's Night,Adult,70,560.0
A Hard Day's Night,Comp,1,0.0
A League of Their Own,Adult,40,400.0
A League of Their Own,Member,2,0.0
A League of Their Own,Student,2,17.0
A Man Called Ove,Adult,254,2332.5
A Man Called Ove,Child,2,13.0
A Man Called Ove,Comp,6,0.0
A Man Called Ove,Member,8,0.0
A Man Called Ove,Senior Citizen,427,3311.0
A Man Called Ove,Student,38,309.0
A Matter of Life and Death,Adult,22,220.0
A Matter of Life and Death,Comp,2,0.0
A Matter of Life and Death,Member,7,0.0
A Matter of Life and Death,Senior Citizen,9,76.5
A Matter of Life and Death,Student,4,34.0
A Quiet Passion,Adult,127,1089.75
A Quiet Passion,Comp,4,0.0
A Quiet Passion,Senior Citizen,265,2016.5
A Quiet Passion,Student,26,204.0
A Quiet Place,Adult,145,1173.5
A Quiet Place,Member,5,0.0
A Quiet Place,Senior,1,8.0
A Quiet Place,Student,6,48.0
A Quiet Place,Supporter Admission,1,5.0
A United Kingdom,Adult,205,1847.25
A United Kingdom,Child,5,32.5
A United Kingdom,Comp,4,0.0
A United Kingdom,Member,1,0.0
A United Kingdom,Senior Citizen,246,1905.5
A United Kingdom,Student,44,349.5
After Auschwitz,Adult,79,790.0
After Auschwitz,Series Pass,10,0.0
Akira,Adult,322,2576.0
Akira,Comp,1,0.0
Ali: Fear Eats The Soul,Adult,12,120.0
Ali: Fear Eats The Soul,Comp,1,0.0
Ali: Fear Eats The Soul,Member,3,0.0
Ali: Fear Eats The Soul,Senior Citizen,7,57.75
Ali: Fear Eats The Soul,Student,2,17.0
Ali: Fear Eats The Soul,Supporter Admission,2,10.0
Alien,Adult,140,1120.0
Alien,Comp,5,0.0
Alien,Member,1,0.0
Alive and Kicking,Adult,36,351.0
Alive and Kicking,Child,3,19.5
Alive and Kicking,Senior Citizen,13,104.0
Alive and Kicking,Student,15,123.75
All Is True,Adult,53,500.0
All Is True,Comp,1,0.0
All Is True,Member,2,0.0
All Is True,Senior Citizen,115,935.0
All Is True,Student,6,50.5
All Is True,Supporter Admission,1,5.0
All Nite Movie Marathon,Adult,23,276.0
All Nite Movie Marathon,All Nite Pass,39,585.0
All Nite Movie Marathon,Comp,1,0.0
All Nite Movie Marathon,Member,2,0.0
All That Heaven Allows,Adult,21,210.0
All That Heaven Allows,Member,3,0.0
All That Heaven Allows,Senior Citizen,7,57.75
All That Heaven Allows,Student,3,25.5
All That Heaven Allows,Supporter Admission,2,10.0
All the Queen's Horses,Adult,104,977.5
All the Queen's Horses,Comp,5,0.0
All the Queen's Horses,Member,7,0.0
All the Queen's Horses,Senior Citizen,146,1183.25
All the Queen's Horses,Student,16,134.5
All-Nite Horror Marathon V,Adult,73,1444.0
All-Nite Horror Marathon VI,All Nite Pass,21,420.0
All-Nite Horror Marathon VI,Shocktober Pass Admission,5,0.0
Amadeus: The Director's Cut,Adult,58,580.0
Amadeus: The Director's Cut,Comp,3,0.0
Amadeus: The Director's Cut,Member,3,0.0
Amadeus: The Director's Cut,Senior Citizen,13,110.5
Amadeus: The Director's Cut,Student,23,195.5
Amazing Grace,Adult,185,1787.5
Amazing Grace,Child,6,40.5
Amazing Grace,Comp,11,0.0
Amazing Grace,Member,2,0.0
Amazing Grace,Senior Citizen,235,1922.0
Amazing Grace,Student,37,309.0
Amazing Grace,Supporter Admission,1,5.0
American Woman,Adult,35,310.75
American Woman,Comp,1,0.0
American Woman,Discount,31,186.0
American Woman,Member,3,0.0
American Woman,Senior,24,192.0
American Woman,Senior Citizen,42,346.5
American Woman,Student,4,33.5
American Woman,Supporter Admission,2,10.0
An Evening With Linnea Quigley,Adult,64,960.0
An Evening With Linnea Quigley,Member,2,25.0
Ancien and the Magic Tablet,Adult,41,389.25
Ancien and the Magic Tablet,Child,2,13.0
Ancien and the Magic Tablet,Member,3,0.0
Ancien and the Magic Tablet,Senior,1,7.5
Ancien and the Magic Tablet,Senior Citizen,4,32.0
Ancien and the Magic Tablet,Student,72,591.75
Andrei Rublev,Adult,24,240.0
Andrei Rublev,Member,3,0.0
Andrei Rublev,Senior Citizen,7,57.75
Andrei Rublev,Student,7,59.5
Anna and the Apocalypse,Adult,61,488.0
Anna and the Apocalypse,Member,2,0.0
Annihilation,Adult,168,1406.5
Annihilation,Member,3,0.0
Annihilation,Senior,5,40.0
Annihilation,Senior Citizen,6,49.5
Annihilation,Student,15,125.0
Apollo 11,Adult,81,778.75
Apollo 11,Child,3,20.25
Apollo 11,Comp,5,0.0
Apollo 11,Member,4,0.0
Apollo 11,Senior Citizen,47,382.75
Apollo 11,Student,29,237.0
Aquarius ,Adult,24,240.0
Aquarius ,Comp,45,0.0
Arrival,Adult,125,1011.25
Arrival,Child,2,13.0
Arrival,Member,3,0.0
Arrival,Senior,35,262.5
Arrival,Student,14,105.0
Ask Dr. Ruth,Adult,21,210.0
Ask Dr. Ruth,Member,4,0.0
Ask Dr. Ruth,Senior Citizen,6,49.5
Ask Dr. Ruth,Student,6,51.0
At Eternity's Gate,Adult,277,2633.75
At Eternity's Gate,Comp,17,0.0
At Eternity's Gate,Member,8,0.0
At Eternity's Gate,Senior Citizen,374,3040.0
At Eternity's Gate,Student,53,443.5
At Eternity's Gate,Supporter Admission,3,15.0
Audition,Adult,61,488.0
Audition,Comp,4,0.0
Audition,Member,3,0.0
Batman: The Movie,Adult,146,1168.0
Beatriz at Dinner,Adult,63,588.75
Beatriz at Dinner,Comp,2,0.0
Beatriz at Dinner,Member,2,0.0
Beatriz at Dinner,Senior Citizen,61,472.0
Beatriz at Dinner,Student,16,127.5
Before Night Falls,Adult,3,30.0
Before Night Falls,Comp,2,0.0
Before Night Falls,Member Screening,4,0.0
Before We Vanish,Adult,65,520.0
Before We Vanish,Member,3,0.0
Belladonna of Sadness,Adult,71,568.0
Belladonna of Sadness,Comp,3,0.0
Belle De Jour,Adult,31,310.0
Belle De Jour,Comp,1,0.0
Belle De Jour,Member,4,0.0
Belle De Jour,Senior Citizen,11,90.75
Belle De Jour,Student,10,85.0
Belle De Jour,Supporter Admission,1,5.0
Beyond the Valley of the Dolls,Adult,43,344.0
Beyond the Valley of the Dolls,Comp,1,0.0
Beyond the Valley of the Dolls,Member,3,0.0
Bicycle Thieves,Adult,16,160.0
Bicycle Thieves,Child,1,6.75
Bicycle Thieves,Member,6,0.0
Bicycle Thieves,Senior Citizen,20,165.0
Bicycle Thieves,Student,7,59.5
Big,Adult,11,107.25
Big,Child,3,24.0
Big,Senior Citizen,2,15.5
Big,Student,1,8.25
Bike Movie Night,Adult,4,40.0
Birds of Passage,Adult,25,238.75
Birds of Passage,Member Screening,9,0.0
Birds of Passage,Senior Citizen,7,56.0
Birds of Passage,Student,6,48.0
Bisbee '17,Adult,18,180.0
Bisbee '17,Member,3,0.0
Bisbee '17,Senior Citizen,15,123.75
Bisbee '17,Student,7,59.5
BlacKkKlansman,Adult,879,8389.0
BlacKkKlansman,Child,2,13.5
BlacKkKlansman,Comp,23,0.0
BlacKkKlansman,Double Feature,15,105.0
BlacKkKlansman,Group,25,175.0
BlacKkKlansman,Member,12,0.0
BlacKkKlansman,Senior Citizen,449,3645.75
BlacKkKlansman,Student,310,2588.0
BlacKkKlansman,Supporter Admission,4,20.0
Black Clover,Adult,13,126.75
Black Clover,Comp,1,0.0
Black Clover,Senior Citizen,1,8.0
Black Clover,Student,13,107.25
Black Girl,Adult,37,360.75
Black Girl,Child,1,6.5
Black Girl,Senior Citizen,13,104.0
Black Girl,Student,19,156.75
Blade,Adult,22,214.5
Blade,Child,3,19.5
Blade,Senior Citizen,3,24.0
Blade,Student,8,66.0
Blade Runner,Adult,355,2843.0
Blade Runner,Comp,1,0.0
Blade Runner,Member,1,0.0
Blade Runner,Student,2,15.0
Blade Runner 2049,Adult,128,1024.0
Blade Runner 2049,Member,3,0.0
Blaze,Adult,50,483.75
Blaze,Child,1,6.75
Blaze,Member,4,0.0
Blaze,Senior Citizen,30,242.75
Blaze,Student,13,106.5
Blindspotting,Adult,114,1070.0
Blindspotting,Comp,4,0.0
Blindspotting,Member,4,0.0
Blindspotting,Senior Citizen,58,468.5
Blindspotting,Student,27,224.5
Blockers,Comp,1,0.0
Blue Collar,Adult,33,264.0
Blue Collar,Comp,2,0.0
Blue Collar,Member,2,0.0
Bombshell: The Hedy Lamarr Story,Adult,80,750.0
Bombshell: The Hedy Lamarr Story,Child,1,6.75
Bombshell: The Hedy Lamarr Story,Comp,1,0.0
Bombshell: The Hedy Lamarr Story,Member,7,0.0
Bombshell: The Hedy Lamarr Story,Senior Citizen,110,905.25
Bombshell: The Hedy Lamarr Story,Student,5,40.5
Bombshell: The Hedy Lamarr Story,Supporter Admission,1,5.0
Bones,Adult,2,16.0
Bones,Comp,1,0.0
Booksmart,Adult,209,1829.25
Booksmart,Comp,8,0.0
Booksmart,Senior Citizen,21,170.75
Booksmart,Student,33,277.5
Booksmart,Supporter Admission,2,10.0
Border,Adult,101,941.25
Border,Comp,2,0.0
Border,Member,7,0.0
Border,Senior Citizen,24,195.5
Border,Student,24,200.5
Boy and the World,Smart Kids Comp,117,0.0
Boyz n the Hood,Adult,5,43.75
Boyz n the Hood,Member,1,0.0
Boyz n the Hood,Senior Citizen,3,24.0
Boyz n the Hood,Student,6,48.0
Brain Damage,Adult,20,160.0
Brain Damage,Comp,1,0.0
Brain Damage,Member,2,0.0
Brazil,Adult,41,328.0
Brazil,Comp,1,0.0
Brazil,Member,3,0.0
